CPU only time (ns): 1.6997e+10
PIM only time (ns): 1.45678e+10
Reuse offloading time (ns): 1.47849e+10 = CPU 8.74907e+08 + PIM 8.74699e+09 + REUSE 5.16302e+09 + SWITCH 3.17391e+09
============================================================
  BBLID  Decision            CPU            PIM     difference          Hash(hi)          Hash(lo)
    141         P        808.666           3929       -3120.33  0b7d1bebfd8c29bb  38d929e6696c9878
    142         C           3660           4320           -660  0b9051336b311087  469f7c58d7564d1e
    143         C        64.3333             12        52.3333  0b99514657c768bc  1577298c52c91fcf
    144         P     2.8856e+06     1.3054e+06     1.5802e+06  0bad7e22e78c517b  ed4cb0ec1bd85a7b
    145         C       0.666666            539       -538.333  0bb830645bb8ceab  12ad7c412d9d80ce
    146         C        76.6666           2831       -2754.33  0bd60138c3b71b20  15626aec6736b8af
    147         C        1.33333            403       -401.667  0bd88c75eff4b9a6  6f438ebfd31831ef
    148         C        185.666             50        135.666  0be3b0ca77238c93  06df37c01ed93a9b
    149         P        6354.66           5227        1127.66  0be6ce41937916db  64bbf5f0559cdc7c
    150         C            173           2772          -2599  0c0416fc8c6d9973  2742f593d2d4f5ed
    151         C        161.333           1063       -901.667  0c08c55dfd718864  2f3dadd164abea8b
    152         C        153.667            364       -210.333  0c44a311d29eacf5  6ad8b2dd59e4201c
    153         P        645.666           2292       -1646.33  0c44ff89446e6dbf  432ec9190290bb84
    154         C        48840.6         643164        -594323  0c4af38a867bd4e1  a144912d33ab59e3
    155         C        677.333            913       -235.667  0c572a5e74872cec  972f0b5afe1cd696
    156         C        6.66666            174       -167.333  0c6143f189685e93  d137828133135ab5
    157         C        3.33333             40       -36.6667  0c8668c87ff34b07  408ddcdb9a75addc
    158         P        86.9999            141       -54.0001  0c8953706524c629  6a7076ea108462ea
    159         C        66.6666            124       -57.3334  0cadef253b1a5855  27b76b351826c059
    160         P    2.20095e+06    2.51097e+06        -310020  0caf20f4594d1315  5fd5143edb6eb473
    161         C        5.33333             64       -58.6667  0cb0f9302dd93b3e  a8957f7a1d9ba7bb
    162         C        331.666           3840       -3508.33  0cc23258fd48beaf  9f1d43091d63b59a
    163         C       0.666666              8       -7.33333  0ce7b616cb4065e7  6d8485ce00f506c2
    164         C             27           2060          -2033  0d2f880a73edfd11  52f028710cfbc7af
    165         C             16            896           -880  0d3bc4fb2af2cf5d  a504b732bc7ab0a1
    166         P    2.42659e+06    1.22243e+06    1.20416e+06  0d55ae7b89c798fa  1872c01327d1e758
    167         C            421            500            -79  0d623726179cd339  d12c211e72d7add9
    168         C        906.666           1092       -185.334  0d6e7f888ea71ea5  5cf103d3cb020d54
    169         C       0.999999            432           -431  0d800766c2e9e6c4  095dcfd43e7551e6
    170         C        5.66666            308       -302.333  0db4c03a4c8c73e4  cb6ab3046b01c4be
    171         C            398            540           -142  0db9f6635d732881  1d587d8ea6a9aeef
    172         C        425.333           2724       -2298.67  0de4056b91855d36  1f5de96dafcbd886
    173         C        1127.33           1045          82.33  0df2c8ce3bb3b438  4616b0f6e3acb975
    174         C        6.66666            260       -253.333  0dfbbf68606208b3  d24e5a5141970813
    175         C        146.667           1735       -1588.33  0e0246263da77ce6  fce9fc19b304abd1
    176         P        3.33333            280       -276.667  0e05c327662629f0  b7f63ccd4501dbf5
    177         P           1228            284            944  0e20ac00acff601b  dd1f86170a4fb530
    178         C        40.3333            361       -320.667  0e45e55c9f48d0fd  e9e143ed7740ae52
    179         P          28000         153066        -125066  0e75d7edacd8b78f  0399432abb133615
    180         C        83.9999           2255          -2171  0e8c29a1794c12b9  e50844b24bba425b
    181         C           2780          20879         -18099  0e93819cb0249b7f  2b0f7d9702d118bf
    182         P        28000.6         153179        -125178  0e9558cdb69b73cb  51a83dd8ae543c0c
    183         C       0.666666             56       -55.3333  0eb210619a1375b0  96030647ed573278
    184         C        89.9999           8096          -8006  0eb361b2f98d8dce  cb0d809b819e8f46
    185         C        75.3333            146       -70.6667  0ebc0895e050a443  639432ab85a7cf7d
    186         C            206           1251          -1045  0ec017343dfab597  815f81791e4d04bb
    187         C        653.666           1072       -418.334  0ee37a9e62fcc779  dfe50726cfe6cb32
    188         C              4            285           -281  0f0796b2ee985495  63b951f81a6c72b7
    189         P    3.67894e+07     1.3801e+07    2.29884e+07  0f0be6a04e147c2b  0b450b73da8dc42a
    190         C        218.333            540       -321.667  0f140d3b12280459  5cc413349d58e1de
    191         P    1.18938e+06         171182     1.0182e+06  0f284e6d697696a3  bfb560b1dd7d76cc
    192         C              3             20            -17  0f3b138cb4021345  40d43b970f7e9380
    193         P    2.00327e+06         704589    1.29868e+06  0f3c8b158c768f79  74c0a10cc1ae2927
    194         C       0.666666             55       -54.3333  0f4aa58698208316  10370179cea962c0
    195         C        77.9999             56        21.9999  0f65bc7a63360a01  872f6bcda05f2ecb
    196         P          28000         152932        -124932  0f70409710345ed5  4173cfa796f302fc
    197         C        80.6666            805       -724.333  0f7bb1eb75aa209c  f0bcf458b5976969
    198         C            448            646           -198  0f8bfd4f6cb43bf4  9429e1403c41c809
    199         C        18.3333            798       -779.667  0fb1d80176d2a82f  563f9225be81dd01
    200         C        124.667             27         97.667  0febd6e97bbffff4  8f56fa9da5ddf41f
    201         C           3006          40000         -36994  10183996cd724394  2a431a48687eb488
    202         C              5             91            -86  101ab8a1fe608d8d  e82a8840df6ba7ed
    203         P        63.3333             12        51.3333  101f0d1694463a70  1ff4c8d359fdd03c
    204         P             50            343           -293  1020e02645675ac1  f9637ea5c7202adc
    205         C        3.33333           1104       -1100.67  102f67fe25a4110b  93724011ff91e374
    206         C         128504    2.06454e+06   -1.93604e+06  103953437d907a73  4da420dea60c7cdf
    207         C        8.33332             87       -78.6667  1050b6f9c11da6f5  a645b8dd2f95ec70
    208         C        256.333            265         -8.667  1058d56821b1663a  9adfa683f2a8f46b
    209         C            260            248             12  106aac592a4b417f  cdebd61074177876
    210         C        78.3333            819       -740.667  106bddcf101e69ef  cdf4606a0a05d64e
    211         C        26.6666           1664       -1637.33  1070268ad26333f3  94d08c534447ac4f
    212         C        1185.67           2712       -1526.33  1074ba4440940a51  939bfb457b8b6848
    213         C        162.333           1016       -853.667  108678d6c80aa3f7  3469f2f702cbc104
    214         C        82.6666            231       -148.333  109b518737506645  e934d81a05d4f9b0
    215         P        54907.3         209350        -154443  10abb3bcd4631cd4  08e4d9c1044124de
    216         C           3628          35595         -31967  10b0d5c5ca7b7504  41be11c0ae0210e7
    217         C           1255            612            643  10b3ee69f2b7abc9  c7ca27ad94423824
    218         P         787560         548945         238615  111048211f3f814d  bf461f94aee5c393
    219         C         105171    1.42828e+06   -1.32311e+06  11261a776a4ca162  e96d20f740b2d1f1
    220         C        7.99999            133           -125  1127cc52c2a67811  21e61280edf80bd5
    221         P        66503.6          48554        17949.6  1146824d7ee3e7fe  1c6cb39aebbd67b7
    222         C        5.66666             67       -61.3333  116538350f86def1  b5e97b0e675c622d
    223         C        102.333            782       -679.667  1181f7f0713a01cd  91ef945c8509a216
    224         C        1.66667             18       -16.3333  1199400457ae830d  e16c53258c901727
    225         P    3.95405e+06    1.23644e+06    2.71761e+06  11fb45e75f5677f0  ae5a055b4977415d
    226         C        1.33333             67       -65.6667  1217bc0dbfdbf030  65b19d8d137b3420
    227         C        2.66666             80       -77.3333  1220de38449db874  2d9d59651fe5f08f
    228         P        935.332            530        405.332  1221ebf59e85ecbd  644346bd15efda9c
    229         P         363999         354282           9717  12433e17654ed00f  18c4054c527913b6
    230         C             15            284           -269  1252624d3d1d46c5  e0a0b79955678767
    231         C        19.3333            192       -172.667  125d4d65b3d58bef  dce694151aeaaec6
    232         C            267            150            117  1260943de25a0e92  79f5aeb52dd1ccc4
    233         C        5.66666            353       -347.333  1262866f6a4723a3  f38b3ff1f3adec63
    234         C        30.6666           1200       -1169.33  127ce77417e6460d  ff2379d77a4a9c3d
    235         C            364          16741         -16377  128ee94b3d1a69a3  df2406c07f2fe4e5
    236         C        985.332           1580       -594.668  12ab5ec955797644  b44079c5a3c491bf
    237         C        3.33333             16       -12.6667  12e2c9fa2759ffd4  ccfb04c5ccdd5081
    238         C        64.9999           1972          -1907  12e8db4108f380a8  62d3855737eec062
    239         C        683.333            479        204.333  1320abe583ecef64  bb66a3d87ec96bbd
    240         C        72.6666             50        22.6666  1335370e712aea6a  3696634882094a76
    241         P        296.666            155        141.666  1362d134d3200590  4f8f7ab74aa3c00a
    242         C            284            548           -264  1364a240ff8734cb  352efe5042354ff5
    243         C        65.3333          16640       -16574.7  136997016c206c1a  e3c551c038a64205
    244         P    2.16069e+06         453587     1.7071e+06  136c11b804470e26  15b2e6cf4a65eb24
    245         C        7039.99          37947         -30907  136e965ff1d0b8e5  f8d2346ea35da94f
    246         C           1412           5825          -4413  13776f87e48d5293  30e5c4baa4a45f95
    247         C        12319.7         143432        -131112  13793de71f5a58e5  faf7ee13ae41ec46
    248         C        3.33333             82       -78.6667  138a7c43ae2acf41  cd07723a2c26b210
    249         C        18513.6         318798        -300284  13b5cc9377a022bf  5d875ae41ac0b399
    250         P    4.20896e+08     9.2538e+07    3.28358e+08  13b5e2f990b4bfab  656aaf9bda98c658
    251         C       0.333333             48       -47.6667  13c4d21a3d4795ae  998803cc3544b5e8
    252         C        6.99999            109           -102  13cbbd05c535c027  aa8bcf6a83d5d700
    253         P         364000         143312         220688  13d6ff5e734935cb  8249a6bee3b691bd
    254         P        28000.3         151065        -123065  1401be5ed2b921ce  6f9e807c354f2dc1
    255         P        681.666            120        561.666  1409697a4ae22f5f  83f9c5e46fe2d12c
    256         C        1267.33           1872        -604.67  141fb67d30972c4a  2281225e23a51f86
    257         P    2.25696e+07    1.22752e+07    1.02944e+07  1436276cd774ce24  2d181541c9daa320
    258         C        1.33333            128       -126.667  1462cb475e00fcbc  8f3e6f3e964eee38
    259         C        148.667           3001       -2852.33  14655c6a685f84d7  ae6ea3a22aaa57cb
    260         C        97.6666            133       -35.3334  1465a74849c560c0  42787d593f415605
    261         C            342           2396          -2054  14718051b0369c95  c757df815b6ca61e
    262         C        370.666           3357       -2986.33  14851646e189bf73  c79ff659552ae671
    263         P    1.15427e+06         472134         682136  149cbd2848c39dfa  4ce9950112a91e6f
    264         C        3.33333             82       -78.6667  14bf859bd3ead102  1b6936f2cdf6e352
    265         C        73.6666            150       -76.3334  14c02e53a659f9a8  5cf9b941f5a8daff
    266         C       0.666666             90       -89.3333  14d28e8a847a110e  6bd1b683de502b99
    267         C        1.33333            544       -542.667  14d2dddc715ff550  f048658146864644
    268         C        2.66666             20       -17.3333  14df68fbd1b1b8e0  9cf3d53185b884db
    269         C        88.9999            824           -735  14e8d7c4f2342d02  8f9150c6b9f76a37
    270         C        56910.9         633349        -576438  14e9be203d59ea68  99c0fb18a228b6d4
    271         C        3.66666             91       -87.3333  14ea6809147b56b9  2f37fe5f0e97b383
    272         C            178            474           -296  14f2132e914801d1  de93fbbabfa7ef93
    273         P        49.6666            666       -616.333  14ff5d13f28521dd  86e75ee086515f5e
    274         C             21            412           -391  15105128a146a869  80c2a758aead160c
    275         C        322.666           2992       -2669.33  151348ae426e2b0a  f097b0084304d0e5
    276         C        143.667            175        -31.333  1515c155c0fe7562  7e144f3a2a221ce5
    277         P    2.69611e+06         909060    1.78705e+06  152c80ca4fd77aa7  854e435bf2df1904
    278         C            297            843           -546  153d977229ed6fd6  6ba0f85567145408
    279         C              2            220           -218  154caff45df30d80  ef5fd11b15175a3b
    280         C       0.999999              4             -3  15697a4f428b5660  74e20cfb3a8c614b
    281         P        5.33333            893       -887.667  156b2f4441fbf0d9  ca1c956350d413b7
    282         P    3.09316e+07    1.13621e+07    1.95695e+07  15945841283d3072  8552683bee6b2f3c
    283         C        268.333            246         22.333  159b114525864437  713779555979124b
    284         C        12.3333            668       -655.667  159ea06af0511bfc  ac192661e6a55c2f
    285         C           1524           4917          -3393  15ae7308f12da45b  8d6e9f14463fce8b
    286         C        164.333           5836       -5671.67  15bbb413b497fc1b  1634ead8112285c3
    287         C        4.66666             40       -35.3333  15c6fcdf35acedcf  b1f6482f0b789bf3
    288         P              2            165           -163  15cc516d69bb6352  b522ea7345a3f0fb
    289         C        640.999          12558         -11917  160b48d8305218e2  c49f12ba4f38dd61
    290         P    1.01745e+08    2.19328e+07    7.98122e+07  16178f07dd388fde  1c2c49076f58d855
    291         C        631.666            547         84.666  1622690c1c0fb14b  fd98cfc2fda0e3f6
    292         P         310490         216188          94302  16537797b86e24b6  a621c0ed394ae22b
    293         C        3697.66          14538       -10840.3  166898f7e0420ae3  bc463cb676084995
    294         C        73.6666            159       -85.3334  169e2065e7492ef4  695c6aab1d08c3e2
    295         C              4             48            -44  16a5bb8cf375e1a5  d0f6bb7fdef987e7
    296         P    1.42568e+07     7.1727e+06     7.0841e+06  16c6ad4c255bea79  8bf534409c52687d
    297         P        1459.67            418        1041.67  16cc50570fc91f08  de0f266072f6bb78
    298         C        18959.3         127750        -108791  16d21f3799ffbf2a  1d342a8ac8e502ff
    299         C        3.33333             40       -36.6667  172b4bffe19cd1a1  590d9c37ac04fc2a
    300         C        71.3333            138       -66.6667  1734d771f83b6678  9e8cbb04a236e9f3
    301         C        6.33333            178       -171.667  17377f97f4a3b32e  33e0f278215f54c5
    302         C        3.33333            295       -291.667  173ffe571e719a79  25e6f5149a80cf4b
    303         C        9999.99          32883         -22883  174d4a944af7163a  b413dd29e6235b35
    304         C        448.666            857       -408.334  176a5d1b42b9ade5  0deb7c9d4db217c2
    305         P    1.89079e+06          55270    1.83552e+06  176f2ec4fe98207d  ff3e0d959aff9112
    306         C        2.66666             96       -93.3333  17987c0daefb4cd2  2e3cf29b08a93788
    307         C        182.333             98         84.333  17a4098efb373359  f49554ed7b255541
    308         C          31156          66272         -35116  17a97e94f8bb2b6e  8baae0ac013ef171
    309         C        910.666            285        625.666  17cf7063cc6d2025  8aab48c103bf3e7a
    310         C        62.3333             11        51.3333  17d1995f3d3af2cd  03186c27c5b49c6c
    311         P         952385         529128         423257  17e70f8e84b83673  fdacc0940f95525c
    312         P    7.83317e+06    4.65822e+06    3.17495e+06  17f497e694ffba33  7e6fa3978bef935b
    313         C        21.6666            291       -269.333  181aebecbcc9b056  04dfe5e17d77ebe7
    314         C              2            564           -562  1822a8a205f35fb1  ae42f6a808de616d
    315         C        1317.33          17814       -16496.7  1838df22301a4a84  8a1d5354e1b859d2
    316         P        60.3333             64        -3.6667  183b76bf73d9fa9e  216cddaef0fb338b
    317         C        596.666           3851       -3254.33  184655edaa0a3859  dca7a8125116967d
    318         C        31.6666            927       -895.333  185639afc1f2004e  1a4617b62ca797d8
    319         C        13.3333             94       -80.6667  186d698a9a27e4f3  6dbd327c7a59302d
    320         C        316.333             90        226.333  18933089b43ff781  88ffb47ec01970cb
    321         C        1.66667            465       -463.333  18d141019b164fdb  ccc35e0ee128d3a4
    322         C       0.333333             59       -58.6667  18fc8378eb0a6146  2f5fb79df458a11c
    323         C        4470.33          16516       -12045.7  190057977efa3f2a  864b03dc5c996e9c
    324         P    4.38389e+06    4.43895e+06         -55060  19356e575f1b2bec  7ede00165b082e9d
    325         P         532141         611687         -79546  196670ba804f2913  f717cadff146b4a3
    326         C              4             87            -83  19862a3d5aaa2ebe  8f10436404954cb0
    327         C        62.3333             22        40.3333  199887f0f00843b3  ce412802fedbc546
    328         C        5.33333            604       -598.667  19f790da5d7be4ab  727908642239651a
    329         C        168.333           1094       -925.667  1a055ebc469f938c  020bd6b20b673c5c
    330         C        743.666            946       -202.334  1a08a7a42bf8ed20  06cca240824d7581
    331         C        4.66666             82       -77.3333  1a0c645a842b2714  979b2e35727c4287
    332         P        28001.3         153238        -125237  1a0e73903c1c8a17  c6f626bcae4fa08d
    333         C       0.666666            105       -104.333  1a2e16011e395394  68008dd1e3c13200
    334         P        84003.6         188426        -104422  1a3bc5d13115528c  bdb10acf0e319c4f
    335         P    2.44238e+06    1.96765e+07   -1.72341e+07  1a489cff67581f68  b8325657dfcf788d
    336         C        6188.99          80665         -74476  1a67376b6de7f444  c65221b83795c23e
    337         P    3.13717e+07    3.34783e+07    -2.1066e+06  1abb1e81d2ef0883  96a561188f88df5f
